ville, abscisse (km), ordonnee (km)
Amiens,-53.86351609651101,377.11855555555553
Bayonne,-342.2530308724459,-334.1167777777775
Beaune,140.7305747438678,58.44777777777763
Besançon,231.29126756055544,81.98099999999977
Bordeaux,-273.74943669239667,-184.69011111111104
Boulogne-sur-Mer,-106.05754289543944,469.47011111111124
Bourges,-45.983462365494134,64.55688888888902
Brest,-572.5638520656883,210.04377777777785
Brive-la-Gaillarde,-112.13013047836799,-148.93833333333362
Caen,-257.80247920498294,298.0958888888886
Calais,-87.29207935592677,494.58777777777783
Chambéry,223.16310024692186,-103.93322222222187
Cherbourg-Octeville,-353.5187948259334,348.19233333333307
Clermont-Ferrant,6.656006327749891,-80.30866666666647
Dunkerque,-47.66656578690712,503.81866666666673
Gap,235.82262924850573,-214.81111111111142
Genève,240.40077610245058,-32.845477777778044
Grenoble,208.38206244304988,-145.7189999999997
Le Havre,-221.19670067569007,332.7077777777782
Lille,4.37915884288019,458.80555555555543
Limoges,-132.9973699889989,-74.04233333333347
Lyon,140.39825245149115,-81.7729999999999
Le Mans,-214.18871570823543,167.3455555555555
Marseille,181.24987848750493,-355.94644444444475
Metz,242.89095996709617,291.03433333333345
Mulhouse,331.62537161062653,138.982111111111
Nancy,243.5564458741085,243.56155555555543
Nantes,-348.27842792501855,79.81899999999975
Narbonne,0.23541726488725725,-368.41366666666653
Nice,325.9705387713024,-309.9807777777781
Nîmes,104.02215489895474,-295.92233333333303
Orange,138.26580645983367,-262.31477777777775
Orléans,-83.42467389815404,155.88488888888858
Paris,-49.544550037083184,261.84600000000006
Pau,-257.8115042983087,-356.10000000000025
Perpignan,-8.043576184664985,-423.4823333333332
Poitiers,-203.41833759772226,8.91377777777791
Reims,78.90807359166035,306.4810000000004
Rennes,-357.7755795220236,179.6962222222223
La Rochelle,-317.4950583323104,-37.741222222222525
Rodez,-32.4302196731346,-238.95677777777755
Rouen,-145.32151734453637,327.025777777778
Saint-Étienne,106.29127751580833,-118.45666666666688
Strasbourg,363.45970567273565,230.37833333333344
Toulon,223.94468862570125,-375.08577777777754
Toulouse,-118.99287263035123,-321.70533333333316
Tours,-177.07233105146125,99.34933333333302
Troyes,82.1743160533272,199.705
Valence,144.73496276220357,-174.0674444444442
Valenciennes,39.64402265872165,428.5681111111109
